session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,Ethnicity (Simplified),First Language,Nationality,Sex,Student Status
5fea0de3d92c4a194121274b,5e29ed78eb557a05536b8442,APPROVED,2020-12-28 16:55:08.610000,2020-12-28 17:00:31.875000,323.265,53,719,2,100,2020-12-28 20:33:45.163000,66C39AD6,United States,United States,Full-Time,White,English,United States,Male,No
5fea0e190b1a444d45562c87,5e2610aad15fdb000c054503,APPROVED,2020-12-28 16:55:56.961000,2020-12-28 17:02:31.189000,394.228,57,663,6,99,2020-12-28 20:34:07.806000,66C39AD6,United States,United States,Full-Time,White,English,United States,Male,No
5fea0e76e44df49aee6b707d,5dcea4c3bc83380fe65dba2a,APPROVED,2020-12-28 16:57:32.231000,2020-12-28 17:02:04.326000,272.095,57,756,1,100,2020-12-28 20:34:41.483000,66C39AD6,United States,United States,Full-Time,White,English,United States,Male,No
5fea0ec091948a4c120f350c,5e2b3b032f20ff188d7223d1,APPROVED,2020-12-28 16:58:43.169000,2020-12-28 17:05:46.988000,423.819,53,379,4,98,2020-12-28 20:35:21.754000,66C39AD6,United Kingdom,United States,Full-Time,White,English,United States,Male,No
5fea0f7be9df3d1af9bae2d7,5fc1a3c904e71528d23b587b,APPROVED,2020-12-28 17:01:53.478000,2020-12-28 17:06:37.862000,284.384,58,48,1,100,2020-12-28 20:36:25.299000,66C39AD6,United States,United States,Full-Time,White,,United States,Male,No
5fea0f878fd71d9c12a7ce2e,5e3dd36d19be0d040a17f13f,APPROVED,2020-12-28 17:02:14.420000,2020-12-28 17:10:45.658000,511.238,57,481,4,99,2020-12-28 20:36:33.737000,66C39AD6,United States,United States,Full-Time,White,English,United States,Male,No
5fea0fd1e6b2819ba12d3935,5e6002b9e9e2ca34e24deab8,APPROVED,2020-12-28 17:03:13.273000,2020-12-28 17:20:33.705000,1040.432,52,550,0,100,2020-12-28 20:37:13.345000,66C39AD6,United States,United States,Unemployed (and job seeking),White,English,United States,Male,No
5fea10587e067a9577112197,5eed1bae9e63ac127ac15a77,APPROVED,2020-12-28 17:05:33.910000,2020-12-28 17:10:28.851000,294.941,57,397,0,100,2020-12-28 20:38:07.590000,66C39AD6,United States,United States,Part-Time,White,English,United States,Male,No
5fea1089bb7b294cd88dfd27,5fd74a4ea3e722000bcdaa33,APPROVED,2020-12-28 17:06:34.621000,2020-12-28 17:30:54.375000,1459.754,57,29,0,100,2020-12-28 20:38:19.430000,66C39AD6,United States,United States,Full-Time,White,DATA EXPIRED,United States,Male,Yes
5fea1096fd725a9db81ccd4e,5a0071766e1ea9000124db35,RETURNED,2020-12-28 17:16:30.117000,,332314.391429,53,588,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5fea10cf2234a69a4e315464,5e1f2837d95637258ebc9ace,APPROVED,2020-12-28 17:08:19.316000,2020-12-28 17:12:10.966000,231.65,56,548,1,100,2020-12-28 20:38:39.394000,66C39AD6,United States,United States,Full-Time,White,English,United States,Male,No
5fea10d75312ca9b0e5f4969,5c5dba4ed86a7f000191e5d5,APPROVED,2020-12-28 17:07:40.977000,2020-12-28 17:14:41.912000,420.935,57,812,6,99,2020-12-28 20:38:54.858000,66C39AD6,United States,United States,Full-Time,White,English,United States,Male,No
